file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,155,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,15
style.css,156,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,17
style.css,157,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,0
style.css,158,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,18
style.css,159,css,ca9a6cd5,Gabrielle Despaigne,2025-10-15,21:16:04,-07:00,2025-10-15T21:16:04-07:00,0,17
style.css,160,css,ca9a6cd5,Gabrielle Despaigne,2025-10-15,21:16:04,-07:00,2025-10-15T21:16:04-07:00,0,16
style.css,161,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,14
style.css,162,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,20
style.css,163,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,0
style.css,164,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,18
style.css,165,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,16
style.css,166,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,25
style.css,167,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,20
style.css,168,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,27
style.css,169,css,d914afc6,Gabrielle Despaigne,2025-10-10,23:59:11,-07:00,2025-10-10T23:59:11-07:00,0,0
style.css,170,css,f40fa5b9,Gabrielle Despaigne,2025-10-11,00:32:34,-07:00,2025-10-11T00:32:34-07:00,0,25
style.css,171,css,4c5ee35d,Gabrielle Despaigne,2025-10-11,00:12:06,-07:00,2025-10-11T00:12:06-07:00,1,13
style.css,172,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,2,25
style.css,173,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,2,14
style.css,174,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,0
style.css,175,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,7
style.css,176,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,2,17
style.css,177,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,2,18
style.css,178,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,0
style.css,179,css,d914afc6,Gabrielle Despaigne,2025-10-10,23:59:11,-07:00,2025-10-10T23:59:11-07:00,0,0
style.css,180,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,0,4
style.css,181,css,670c0488,Gabrielle Despaigne,2025-10-15,21:29:59,-07:00,2025-10-15T21:29:59-07:00,1,15
style.css,182,css,7a98ee3f,Gabrielle Despaigne,2025-10-15,21:24:43,-07:00,2025-10-15T21:24:43-07:00,1,20
style.css,183,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,1,41
style.css,184,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,0,0
style.css,185,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,0,17
style.css,186,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,18
style.css,187,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,0,0
style.css,188,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,0,10
style.css,189,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,12
style.css,190,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,14
style.css,191,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,29
style.css,192,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,30
style.css,193,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,20
style.css,194,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,11
style.css,195,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,10
style.css,196,css,d914afc6,Gabrielle Despaigne,2025-10-10,23:59:11,-07:00,2025-10-10T23:59:11-07:00,0,0
style.css,197,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,0,10
style.css,198,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,8
style.css,199,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,10
style.css,200,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,0,0
style.css,201,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,0,0
style.css,202,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,0,10
style.css,203,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,12
style.css,204,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,11
style.css,205,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,14
style.css,206,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,16
style.css,207,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,11
style.css,208,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,0
